"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000152583",954.770931565544,4.36835864527065,0.237126791796018,18.4220374770153,8.74489804217314e-76,1.32441480848712e-71
"ENSG00000179094",743.252688449073,2.86388865850472,0.175569314419061,16.3120114012008,8.10783556419933e-60,6.13965848098994e-56
"ENSG00000116584",2277.91345410747,-1.03470077244439,0.065098436086062,-15.8944029173986,6.92854593249887e-57,3.49776093825651e-53
"ENSG00000189221",2383.75370672631,3.34154402446201,0.212405785251703,15.7318880015544,9.14432590230567e-56,3.46227039476048e-52
"ENSG00000120129",3440.70375496308,2.9652108028191,0.203695128555544,14.5571021940789,5.26424315691443e-48,1.59453925222938e-44
"ENSG00000148175",13493.9203682606,1.42716828092125,0.100389041282998,14.2163752405806,7.25127847390237e-46,1.83034354145419e-42
"ENSG00000178695",2685.40973562001,-2.48906893759146,0.178066074434076,-13.9783445302657,2.11347084723399e-44,4.57264514019411e-41
"ENSG00000109906",439.541520915421,5.92760001886978,0.428136869478732,13.8451052489051,1.36181139450408e-43,2.57807919622053e-40
"ENSG00000134686",2933.64246142684,1.43948999773361,0.105851508731719,13.5991448301601,4.05142856183764e-42,6.81765395211456e-39
"ENSG00000101347",14134.9917673153,3.85041431110557,0.284873520233419,13.5162239998671,1.25451653364105e-41,1.89996529019937e-38
"ENSG00000096060",2630.23049426017,3.94505193427763,0.292884106018562,13.4696689004613,2.35921552414669e-41,3.24821082847288e-38
"ENSG00000166741",7542.25286980186,2.21959060728288,0.166737386682555,13.3118951390828,1.97410002739247e-40,2.49147874290491e-37
"ENSG00000125148",3695.87946177106,2.1985635708861,0.167008739398137,13.164362408873,1.40720537787488e-39,1.63939426522423e-36
"ENSG00000162614",5646.18313812309,1.97114016629128,0.150213844094581,13.122227036878,2.45609603316047e-39,2.65696960158681e-36
"ENSG00000106976",989.046833637733,-1.85017141617636,0.147802596310033,-12.5178546410335,5.96250434853894e-36,6.02014189057481e-33
"ENSG00000187193",199.07693798836,3.25514248478068,0.26091854079019,12.475704006785,1.01306836981251e-35,9.58932528800657e-33
"ENSG00000256235",1123.47954131474,1.28011865747293,0.105504614525042,12.1332954320124,7.03598988787469e-34,6.26823922658013e-31
"ENSG00000177666",2639.57019969705,1.13999461547859,0.0960966722705679,11.8629978389766,1.84257652200501e-32,1.55032341254255e-29
"ENSG00000164125",7257.00808055341,1.02485248526771,0.0866045399524445,11.8337039355034,2.61349314601091e-32,2.08322914191238e-29
"ENSG00000198624",2020.04495478061,2.81410138992209,0.240617017729766,11.6953547860965,1.34623406055357e-31,1.01943574235419e-28
"ENSG00000123562",5008.55293511073,1.00454516881879,0.0890432106357687,11.2815470336968,1.61873953565166e-29,1.16741953654497e-26
"ENSG00000144369",1283.77979687001,-1.30900391613546,0.117172542155342,-11.17159269618,5.61646483623131e-29,3.86642545203287e-26
"ENSG00000196517",241.91536257078,-2.34569143562612,0.210498178621399,-11.1435236684165,7.70108369848788e-29,5.07099620059126e-26
"ENSG00000135821",19973.4000047829,3.04139431082022,0.27598692269885,11.0200667519994,3.05832197992684e-28,1.92992859941633e-25
"ENSG00000164647",1885.61489540935,1.5471905162903,0.142645376455388,10.8464119534514,2.07408275029413e-27,1.25647933012818e-24
"ENSG00000157150",194.419230565533,2.90878358165784,0.268519421207252,10.8326748530146,2.41010306082449e-27,1.40388503293027e-24
"ENSG00000276600",308.766133363223,-1.76082972077217,0.163014965752124,-10.8016445769135,3.3809289925375e-27,1.89645072562891e-24
"ENSG00000163697",2417.25697073947,0.917525132491451,0.0859935495196217,10.6696971763224,1.41085431831104e-26,7.63121023243595e-24
"ENSG00000116285",3268.63191573428,2.44021976886152,0.229391727249041,10.6377845361977,1.98800030832176e-26,1.03821602308735e-23
"ENSG00000181467",614.694820343917,-1.26188940273602,0.118727305731682,-10.62846827829,2.19690930447039e-26,1.1090730472068e-23
"ENSG00000183044",534.268135899311,1.0062862582165,0.0951354084826032,10.577410390796,3.79296699501219e-26,1.8530479077245e-23
"ENSG00000162692",501.804184764929,-3.53333363622937,0.334321674783245,-10.5686645609208,4.1638142992717e-26,1.97065523632718e-23
"ENSG00000163884",574.142864572114,4.53724575183317,0.431686933142821,10.5105005583573,7.72822595264308e-26,3.54678733493271e-23
"ENSG00000273259",2004.06797116422,3.36549829706488,0.323425784549165,10.4057822778606,2.33331671742648e-25,1.03935534368894e-22
"ENSG00000110756",990.645486606917,1.49026631197889,0.147034077371646,10.1355164640648,3.84337164458902e-24,1.66308181592288e-21
"ENSG00000119138",1717.46623459215,2.1278754711662,0.21177152370852,10.0479773385159,9.37723131040511e-24,3.94494911655793e-21
"ENSG00000077684",1762.18309743193,1.18958341875538,0.118712628996697,10.0206981246155,1.23626580835238e-23,5.06033666689101e-21
"ENSG00000103502",3348.30312527958,0.839753190615661,0.0839424644233549,10.0039139473015,1.46490175235926e-23,5.83840448407393e-21
"ENSG00000166482",27413.4128904298,-0.949287525114023,0.0953712355350383,-9.95360414267954,2.43211869832511e-23,9.44472761182919e-21
